Id,Gr Liv Area,Total Bsmt SF,Garage Area,Garage Cars,Total Bath,age_property,TotRms AbvGrd,Mas Vnr Area,Fireplaces,Overall Qual,Bsmt Qual,Garage Finish,Fireplace Qu,Heating QC,SalePrice,Exterior 1st_BrkFace,Condition 2_PosA,Neighborhood_Crawfor,Misc Feature_Othr,Roof Style_Gambrel,Garage Type_Detchd,Condition 1_Norm,Exterior 2nd_Plywood,House Style_1Story,Exterior 2nd_BrkFace,Roof Style_Shed,Condition 2_Norm,Exterior 2nd_MetalSd,Mas Vnr Type_Stone,Neighborhood_SawyerW,Neighborhood_ClearCr,Sale Type_New,Neighborhood_BrkSide,Exterior 2nd_Stucco,Lot Config_FR3,Neighborhood_Somerst,House Style_SLvl,Condition 1_RRNe,Sale Type_WD ,Garage Type_Basment,Roof Style_Hip,Exterior 2nd_CBlock,Roof Style_Gable,Exterior 2nd_HdBoard,Neighborhood_Edwards,MS Zoning_RH,Garage Type_Attchd,MS Zoning_FV,Exterior 2nd_Brk Cmn,Exterior 2nd_ImStucc,Lot Config_CulDSac,Exterior 2nd_AsphShn,House Style_1.5Unf,Foundation_Slab,Exterior 1st_Plywood,Neighborhood_NWAmes,Condition 1_RRAe,Neighborhood_Veenker,Exterior 2nd_Wd Shng,Foundation_Stone,Heating_GasW,Bldg Type_2fmCon,Condition 1_PosN,Lot Config_Inside,Sale Type_Oth,Neighborhood_StoneBr,Land Contour_Lvl,House Style_2.5Fin,Exterior 1st_AsphShn,Exterior 1st_CemntBd,Mas Vnr Type_BrkFace,Sale Type_ConLI,Exterior 2nd_CmentBd,Foundation_CBlock,Neighborhood_SWISU,Neighborhood_CollgCr,Exterior 2nd_VinylSd,Condition 2_PosN,Exterior 1st_HdBoard,Bldg Type_Twnhs,Neighborhood_Mitchel,Sale Type_ConLD,Land Contour_HLS,Exterior 1st_BrkComm,Exterior 1st_WdShing,Neighborhood_OldTown,Sale Type_Con,MS Zoning_RL,Foundation_Wood,Neighborhood_IDOTRR,Heating_Grav,Condition 1_PosA,Exterior 1st_VinylSd,Neighborhood_NoRidge,Bldg Type_TwnhsE,Exterior 1st_Stucco,Roof Style_Mansard,Alley_Pave,Mas Vnr Type_None,Neighborhood_MeadowV,MS Zoning_I (all),Foundation_PConc,Neighborhood_BrDale,Roof Matl_Tar&Grv,Central Air_Y,House Style_SFoyer,Street_Pave,Condition 1_Feedr,Exterior 2nd_Wd Sdng,Bldg Type_Duplex,Lot Config_FR2,Condition 1_RRNn,House Style_2Story,Condition 1_RRAn,MS Zoning_RM,Neighborhood_Timber,Land Contour_Low,Garage Type_CarPort,Neighborhood_Blueste,Neighborhood_NPkVill,Roof Matl_WdShngl,Exterior 1st_MetalSd,Misc Feature_Shed,Exterior 1st_Wd Sdng,House Style_2.5Unf,Neighborhood_Greens,Roof Matl_WdShake,Sale Type_CWD,Neighborhood_NridgHt,Neighborhood_Gilbert,Neighborhood_Sawyer,Neighborhood_NAmes,Sale Type_ConLw,Garage Type_BuiltIn
109,1479,725.0,475.0,2.0,3.0,14,6,289.0,0,6,3,2,0,5,130500,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
544,2122,913.0,559.0,2.0,4.0,22,8,132.0,1,7,4,2,3,5,220000,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,1057,1057.0,246.0,1.0,2.0,12,5,0.0,0,5,3,1,0,3,109000,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
318,1444,384.0,400.0,2.0,3.0,12,7,0.0,0,5,4,3,0,4,174000,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
255,1445,676.0,484.0,2.0,2.0,26,6,0.0,0,6,2,1,0,3,138500,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
138,1888,1517.0,578.0,2.0,3.0,17,6,0.0,1,6,3,3,4,5,190000,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2827,1072,547.0,525.0,2.0,3.0,13,5,82.0,0,6,4,3,0,4,140000,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,1188,1188.0,531.0,2.0,2.0,60,6,180.0,0,5,3,2,0,2,142000,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1942,924,924.0,420.0,1.0,1.0,67,6,0.0,0,5,3,1,0,3,112500,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1956,2080,1040.0,504.0,2.0,4.0,50,9,192.0,2,5,4,1,3,3,135000,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
